initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating,zSpread,zSpreadTrailing,MOVE,MOVETrailing,retsTrailing
0.9,0.875,12.0,0.614,2.4849066497880004,1,4,500.0,6.214608098422191,4.0,0.3110111032,0.2976981976666666,0.6263000000000001,0.5859818181818182,0.3571313999999996
0.04,0.125,10.0,0.016,2.302585092994046,0,1,1000.0,6.907755278982137,1.0,0.2698079645,0.2522821632363636,0.5693,0.6054818181818181,-0.0032607000000006
0.9,0.625,10.0,0.5549999999999999,2.302585092994046,1,4,500.0,6.214608098422191,2.0,0.3028520544999999,0.2705080245954546,0.6609999999999999,0.6903545454545454,0.2130663999999995
0.45,0.125,4.5,0.1261505944879128,1.5040773967762742,1,4,600.0,6.396929655216146,5.0,0.3701302741,0.3814956620043478,0.492196,0.4999398636363636,0.1254713999999995
0.85,0.375,5.0,0.73,1.6094379124341005,0,2,500.0,6.214608098422191,3.0,0.2598707139,0.2481892766652173,0.6873,0.55096,0.5618577999999994
0.09,0.1,8.0,0.045,2.079441541679836,0,1,750.0,6.620073206530356,9.0,0.2943928263,0.2954976084235294,0.5327000000000001,0.5715000000000001,0.3331509999999996
1.2,0.8,8.0,0.825,2.079441541679836,0,2,1000.0,6.907755278982137,8.0,0.2997614385,0.2885659796181818,0.5558,0.5399904761904762,-0.0815773000000006
0.14,0.864,5.0,0.14,1.6094379124341005,0,1,2500.0,7.824046010856292,8.0,0.2024244669,0.2149646187272727,1.0057,1.0634809523809523,0.0296907999999994
0.1,0.01,7.0,0.045,1.9459101490553128,0,1,1250.0,7.1308988302963465,8.0,0.2252088827,0.2409843027428571,0.605,0.5621050000000001,0.4871841999999994
1.8,4.75,9.0,1.5490000000000004,2.19722457733622,0,4,1250.0,7.1308988302963465,4.0,0.393282082,0.3698989014409091,1.2976,1.165595238095238,0.0595297999999996
0.55,0.0,8.0,0.2949999999999999,2.079441541679836,1,4,1850.0,7.52294091807237,8.0,0.4220431495,0.4266740818681818,0.4306,0.4618857142857143,0.0548359999999994
0.04,0.625,7.0,-0.021,1.9459101490553128,0,1,1500.0,7.313220387090301,1.0,0.2453528431,0.2506021719318181,0.9617,0.8706454545454545,-0.3604993000000006
1.725,1.0,10.0,1.085,2.302585092994046,1,4,500.0,6.214608098422191,5.0,0.7312143177,0.70545963682,0.705,0.9133666666666668,0.4589239999999997
0.85,0.1,6.0,0.5385,1.791759469228055,0,4,1000.0,6.907755278982137,5.0,0.3402047542999999,0.3405677262142857,0.8797929999999999,0.7798217619047618,-0.7528167000000004
0.6,0.0,3.5,0.4423627055744207,1.252762968495368,0,4,800.0,6.684611727667927,5.0,0.2312880711,0.254368485490909,0.6762,0.6751952380952381,-0.0003460000000006
0.5,0.0,6.6,0.0388615932278303,1.88706964903238,1,4,500.0,6.214608098422191,5.0,0.2418395211,0.2292783743347826,0.669,0.6750428571428572,-0.5373509000000005
0.65,1.375,10.0,0.51,2.302585092994046,0,4,1250.0,7.1308988302963465,8.0,0.3005841313,0.2867993907954545,0.503166,0.4916941363636363,-0.8014677000000003
0.12,0.25,3.0,-0.009,1.0986122886681098,0,1,1750.0,7.467371066917559,1.0,0.1943695603999999,0.2299048571904761,1.4003,1.007385,-1.3740046000000004
1.0,0.375,6.0,0.6300000000000001,1.791759469228055,0,4,750.0,6.620073206530356,7.0,0.2624951137,0.2482402772913043,0.5770000000000001,0.5522,0.5749203999999994
0.85,1.25,4.0,0.695,1.3862943611198906,0,4,700.0,6.551080335043404,3.0,0.2485697502,0.2496702145272727,0.9554,0.8872333333333334,-0.4840760000000005
0.43,3.715,7.0,0.3599999999999994,1.9459101490553128,0,1,1500.0,7.313220387090301,1.0,0.3785379572,0.3612134262090909,1.2252,1.123261904761905,0.2403709999999997
1.925,4.625,8.0,1.638,2.079441541679836,0,3,1000.0,6.907755278982137,8.0,0.4218247223,0.3556395901318182,1.2161,1.2261285714285717,0.2518498999999997
0.75,2.625,6.0,0.3130000000000001,1.791759469228055,1,4,600.0,6.396929655216146,8.0,0.1994037587,0.2158276195318182,1.3354,1.2333190476190476,-0.4344178000000004
0.15,0.01,7.0,0.3649999999999999,1.9459101490553128,0,1,500.0,6.214608098422191,1.0,0.3469556445,0.3005730703521739,0.8959,0.7725476190476189,-0.9172861000000002
1.2,1.0,5.0,0.879,1.6094379124341005,0,2,1000.0,6.907755278982137,5.0,0.4074873028999999,0.4082140994142857,0.457323,0.5011274285714286,-0.2103371000000004
0.875,1.637,12.0,0.7269999999999999,2.4849066497880004,1,4,650.0,6.476972362889683,5.0,0.2085321804,0.2393578739272727,0.515955,0.5314264210526316,-0.3413067000000001
3.0,2.125,5.0,2.54,1.6094379124341005,1,4,650.0,6.476972362889683,8.0,0.3974643105,0.4216567968681818,0.3863,0.4438904761904761,0.3940168999999994
2.0,1.375,6.0,1.66,1.791759469228055,0,2,500.0,6.214608098422191,12.0,0.2230125414,0.2521501663826087,0.6071,0.67135,0.0240696999999993
-0.02,0.625,7.25,-0.0471871288291526,1.981001468866584,0,1,1000.0,6.907755278982137,1.0,0.2256338119,0.1496728148761904,0.532687,0.5127655238095239,-1.4342849000000002
0.24,0.125,8.0,0.066,2.079441541679836,0,1,1000.0,6.907755278982137,9.0,0.2920998084,0.2962360070666666,0.5332,0.5749772727272728,0.5082679999999996
