initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating,month,zSpread,zSpreadTrailing,MOVE,MOVETrailing,MOVERetsTrailing,iboxxRetsTrailing
0.7,1.375,10.0,0.555,0.3954303478435081,2.302585092994046,0,3,750.0,6.620073206530356,8.0,11,0.1039079895,0.1638980997363636,0.441986,0.5150124,-0.1250643355425168,0.2564574999999999
0.6,1.5,10.0,0.544,-0.2168077236999868,2.302585092994046,0,3,500.0,6.214608098422191,5.0,4,0.1183021472,0.117870731301,0.525082,0.5668336,-0.1871971814852309,-0.071259
1.6,2.75,6.0,1.257,0.322205754733584,1.791759469228055,0,3,1500.0,7.313220387090301,7.0,5,0.2431198053,0.1844939048521739,1.1946,1.2480363636363636,0.1023345944449569,-0.5096855000000006
1.1,1.125,11.0,0.746,0.6179401739158553,2.3978952727983707,1,4,700.0,6.551080335043404,7.0,6,0.3947407944,0.3847256339857142,0.7355740000000001,0.5828302,0.4942187373039732,-0.7008919000000005
-0.01,0.625,8.0,-0.135,0.0242298720513108,2.079441541679836,0,1,750.0,6.620073206530356,1.0,4,0.1183021472,0.117870731301,0.525082,0.5668336,-0.1871971814852309,-0.071259
0.4,0.125,5.0,0.2699999999999999,0.2208184978045591,1.6094379124341005,0,1,1000.0,6.907755278982137,1.0,3,0.6927706374,0.4938623181590909,1.3538,1.1704095238095238,1.0640341515474918,-3.4953494000000003
0.54,0.5,8.0,0.575,-0.2287450413990792,2.079441541679836,0,3,250.0,5.521460917862246,6.0,1,0.287836429,0.2978341272736842,0.5534,0.5574454545454546,-0.1020606847314619,0.1284607999999996
0.25,3.879,3.0,0.1800000000000001,0.0503621415235478,1.0986122886681098,0,1,3500.0,8.160518247477505,1.0,3,0.3785379572,0.3612134262090909,1.2252,1.123261904761905,0.0697633807735964,0.2403709999999997
1.0,0.375,5.0,0.74,0.0765614642680036,1.6094379124341005,0,3,500.0,6.214608098422191,8.0,8,0.4341278883,0.43576804025,0.4789,0.4370446363636363,-0.0574690021649282,0.2988270999999994
0.65,0.25,3.0,0.325,0.3448385216492954,1.0986122886681098,1,4,350.0,5.857933154483459,7.0,1,0.2313289529,0.2333992276285714,0.8377,0.7894300000000001,0.0531807895398539,-0.1093761000000006
0.875,0.45,6.0,0.555,0.2860508541068898,1.791759469228055,1,4,600.0,6.396929655216146,9.0,1,0.3110111032,0.2976981976666666,0.6263000000000001,0.5859818181818182,0.0370922338135453,0.3571313999999996
0.6,0.125,7.0,0.2405999999999999,-0.3885021362318925,1.9459101490553128,1,4,1000.0,6.907755278982137,5.0,4,0.2518213035,0.2436931025772727,0.6015,0.6259045454545454,-0.1505437085157464,0.0518164999999994
0.65,0.819,5.0,0.5459999999999999,-0.047661342167306,1.6094379124341005,0,4,500.0,6.214608098422191,7.0,7,0.2512025813,0.2739505059272727,0.477875,0.51056685,-0.1607172651193831,-0.7517798000000002
