date,isin,NIP,ipt,guidance,initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating
2019-05-21,XS2002491780,-3.5826241220372275,70.0,,0.7,0.875,11.0,0.3428,0.23170541456617788,2.3978952727983707,Corporate,Sr Unsecured,500.0,6.214608098422191,A-
2019-05-21,XS2003442436,9.876896555137924,160.0,145.0,1.6,1.25,5.0,1.265,0.9846168859494052,1.6094379124341003,Financials,Sr Unsecured,750.0,6.620073206530356,BBB-
2019-05-21,DE000CZ40N04,13.88871729003324,,85.0,0.85,0.625,5.25,0.6190151614411152,0.572571715,1.6582280766035324,Financials,Sr Preferred,1000.0,6.907755278982137,A-
2019-05-21,FR0013422011,1.8410777616191911,125.0,110.0,1.25,1.375,10.0,0.9280000000000002,0.23540929265977614,2.302585092994046,Financials,Sr Non Preferred,1450.0,7.27931883541462,A-
2019-05-22,XS2004381674,5.177834853561119,45.0,35.0,0.45,0.696,9.0,0.3549999999999999,0.20566856429089522,2.1972245773362196,Corporate,Sr Unsecured,650.0,6.476972362889683,A+
2019-05-22,XS2004366287,-0.2003876199533095,,13.0,0.13,0.05,5.0,0.085,-0.034697295870071664,1.6094379124341003,Financials,Secured,1250.0,7.1308988302963465,AAA
2019-05-22,XS1998025008,1.9367756518367767,65.0,,0.65,0.465,5.0,0.5,0.10629236358862816,1.6094379124341003,Financials,Sr Unsecured,500.0,6.214608098422191,A-
2019-05-22,DE000BHY0BQ4,0.2100310548707642,,2.0,0.02,0.375,10.0,-0.05499999999999999,0.009694987116109563,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AAA
2019-05-23,FR0013422227,3.929163520366515,125.0,102.5,1.25,1.625,15.0,0.8798999999999999,0.44347691002721434,2.70805020110221,Corporate,Sr Unsecured,700.0,6.551080335043404,A-
2019-05-24,XS2001737910,21.154125363749323,97.5,80.0,0.975,1.125,10.0,0.723,0.02671860081439762,2.302585092994046,Corporate,Sr Unsecured,1000.0,6.907755278982137,A
2019-05-24,XS2001737324,24.18589804305016,82.5,65.0,0.825,0.75,7.0,0.623,0.028709755531680967,1.9459101490553132,Corporate,Sr Unsecured,1000.0,6.907755278982137,A
2019-05-28,XS2005607879,10.677111904860835,170.0,,1.7,1.375,5.0,1.44,0.33708958412919615,1.6094379124341003,Corporate,Sr Unsecured,350.0,5.857933154483459,BBB-
2019-05-28,AT000B049788,1.505959581424285,,10.0,0.1,0.25,8.0,0.06,-0.023746856934615403,2.0794415416798357,Financials,Secured,500.0,6.214608098422191,AAA
2019-05-28,XS2007244614,-1.1626560134066497,,10.0,0.1,0.375,10.0,5.551115123125783e-17,-0.11200197154460549,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AAA
2019-05-29,DE000MHB61E7,-15.38402817496998,,43.0,0.43,0.5,7.0,0.4101000000000001,-0.6618379087475175,1.9459101490553132,Financials,Sr Non Preferred,400.0,5.991464547107982,AA
2019-06-04,XS2009943379,15.796536617354018,117.5,95.0,1.175,1.125,10.0,0.8220000000000001,0.04363417181386186,2.302585092994046,Corporate,Sr Unsecured,750.0,6.620073206530356,A-
2019-06-04,XS2009861480,16.77566738474324,110.0,85.0,1.1,1.125,11.0,0.746,0.6179401739158553,2.3978952727983707,Corporate,Sr Unsecured,700.0,6.551080335043404,A-
2019-06-04,XS2004880832,2.806139136535734,80.0,65.0,0.8,0.523,5.0,0.628,0.15489828188829108,1.6094379124341003,Financials,Sr Unsecured,750.0,6.620073206530356,A-
