,Instrument,Original Yield Maturity
160,FR001400G412,3.461
161,FR001400G3Y1,3.332
162,XS2592301365,4.325
163,XS2589828941,3.779
164,XS2589713614,4.416
165,XS2588859376,4.11
166,XS2572499726,3.417
167,XS2589792220,3.638
168,XS2589790109,3.423
169,XS2589712996,4.16
170,XS2589907653,5.606
171,XS2589790018,3.756
172,BE0002924059,3.151
173,AT000B049945,3.208
174,DE000NLB4RJ4,3.205
175,FR001400FZ73,3.189
176,XS2589367528,5.401
177,FR001400FZ24,3.187
178,XS2589317697,
179,XS2589260723,4.168
180,XS2589260996,4.682
181,FR001400FZ32,3.21
182,FR001400FZ81,3.162
183,ES0280907033,5.147
184,FR001400FXU8,3.172
185,DK0030045703,
186,ES0422714172,3.415
187,XS2588099478,3.72
188,XS2586779782,3.26
189,XS2585977882,3.736
190,XS2587306403,3.82
191,XS2587352340,4.327
192,XS2583352443,3.524
193,DE000AAR0389,3.16
194,XS2585964476,
195,FI4000549035,3.252
196,XS2586739729,5.32
197,XS2586780012,3.542
198,DE000SLB4345,3.027
199,BE0002921022,3.101
200,XS2585239200,
201,ES0413900939,3.335
202,AT0000A32RP0,4.173
203,XS2586851300,4.08
204,XS2582814039,3.763
205,XS2584685387,4.148
206,XS2584685031,3.68
207,XS2586128170,3.82
208,XS2584643113,
209,DE000BLB6JU7,3.833
210,XS2582860909,4.259
211,DE000A30WF84,5.162
212,XS2583742239,3.708
213,DE000A30V8U9,3.051
214,XS2583742668,4.012
215,XS2583741934,3.437
216,XS2583600791,3.805
217,XS2583742585,3.862
218,XS2583205906,4.513
219,XS2583203950,5.292
220,XS2582195207,4.037
221,XS2582112947,3.038
222,FR001400FJM4,3.051
223,XS2582358789,
224,SK4000022430,3.467
225,XS2582501925,5.618
226,AT0000A326M6,3.22
227,FR001400FIG8,3.013
228,DE000CZ43ZS7,2.963
229,AT0000A326N4,3.129
230,AT0000A32HA3,4.063
231,DE000SCB0047,3.005
232,XS2581397986,3.262
233,FR001400FD12,3.058
234,SK4000022398,3.36
235,FR001400FFW1,2.956
236,FR001400FDC8,4.729
237,FR001400FDB0,4.26
238,BE0002913946,5.861
239,ES0415306101,3.041
240,XS2580224082,2.752
241,XS2579606927,
242,XS2579324869,3.858
243,DE000MHB33J5,2.817
244,XS2579319513,3.857
245,XS2579284469,3.925
246,XS2579199865,2.991
247,AT0000A32661,3.046
248,XS2579897633,4.843
249,DE000A30V8H6,2.877
250,AT000B067087,3.092
251,DE000LB384E5,2.895
252,XS2578472339,
253,FR001400FAZ5,3.703
254,FR001400FB06,3.666
255,XS2577874782,3.915
256,DE000A30WF68,2.916
257,AT000B049937,3.091
258,XS2577836187,2.913
259,AT000B093901,3.193
260,XS2575965327,3.858
261,ES0413211A75,
262,DE000CZ43ZN8,5.222
263,XS2577396430,4.317
264,XS2577384691,4.396
265,XS2577572188,4.984
266,XS2577054716,4.089
267,XS2577127884,3.652
268,BE6340849569,3.66
269,FR001400F703,3.261
270,FR001400F6E7,4.265
271,FR001400F6O6,4.24
272,DE000A30V5F6,3.048
273,FR001400F5R1,3.161
274,XS2575952937,3.799
275,FR001400F711,3.521
276,XS2577042893,3.636
277,XS2531479462,4.152
278,FR001400F5S9,3.244
279,DE000A30VG92,3.053
280,XS2576255249,4.259
281,XS2577053825,
282,FR001400F6V1,3.951
283,XS2575952853,3.703
284,AT0000A32562,
285,DE000A3MQUY1,3.062
286,XS2576067081,4.275
287,XS2575555938,3.353
288,DE000A3MQUZ8,3.016
289,XS2575556589,3.565
290,XS2575952697,3.991
291,XS2576362839,
292,XS2575971994,4.069
293,XS2575952424,3.864
294,XS2575973776,3.875
295,FR001400F5F6,4.441
296,XS2574873183,3.951
297,FR001400F091,3.193
298,XS2574873266,3.657
299,DE000AAR0371,3.09
300,SI0002103552,3.126
301,XS2570759154,3.14
302,FR001400F1G3,3.709
303,FR001400F1I9,4.106
304,FR001400F0H3,5.092
305,SI0002104303,3.654
306,FR001400F1M1,4.36
307,XS2572496623,4.267
308,XS2572476864,3.692
309,FR001400F281,3.113
310,CH1236363391,4.437
311,XS2572996606,4.071
312,XS2573569220,
313,FR001400F0U6,4.752
314,XS2573712044,
315,XS2573569576,
316,DE000BHY0SP0,3.109
317,DE000BHY0GM2,3.102
318,ES0413900913,3.447
319,XS2572298409,3.326
320,XS2573807778,3.734
321,XS2572989650,3.478
322,XS2573331324,3.726
323,ES0413900905,3.394
324,XS2572989817,3.595
325,FR001400F083,4.536
326,FR001400F075,4.428
327,FR001400EZL5,3.342
328,AT0000A324F5,3.266
329,XS2565831943,3.631
330,IT0005523896,6.174
331,FR001400EHH1,5.035
332,CH1230759495,
333,FR001400EEX5,2.87
334,FR001400EFP8,2.847
335,DE000CZ43ZJ6,2.769
336,XS2563348361,4.448
337,XS2560415965,4.907
338,XS2563002653,
339,XS2561746855,2.723
340,XS2558972415,3.625
341,FR001400EAY1,3.838
342,XS2560411543,3.681
343,ES0413679525,3.081
344,FR001400E946,4.352
345,BE6339428904,
346,XS2560753936,3.584
347,XS2559501429,5.113
348,XS2559580548,4.37
349,FR001400E904,4.216
350,XS2560673662,2.953
351,FR001400E797,4.07
352,XS2559453431,3.353
353,DE000A3LBMY2,3.064
354,XS2545425980,
355,XS2558966953,3.432
356,XS2558395278,4.049
357,XS2558574104,3.106
358,XS2558916693,3.151
359,XS2558953621,3.348
360,FR001400E3H8,4.789
361,XS2558395351,3.714
362,DE000HCB0BQ0,6.309
363,XS2557551889,2.837
364,XS2555179378,3.243
365,XS2558591967,6.112
366,XS2555178644,3.035
367,FR001400E1P5,2.914
368,XS2556232143,3.037
369,FI4000522974,
370,XS2556223233,3.204
371,XS2552362704,4.7
372,FR001400DZM5,4.04
373,CH1214797172,
374,DE000A30V3G9,3.007
375,FR001400DZO1,4.36
376,XS2555925218,
377,FR001400DZN3,4.018
378,XS2555220941,4.529
379,XS2555218291,4.002
380,FI4000541461,3.287
381,XS2555220867,4.304
382,ES0380907065,7.295
383,XS2554997937,4.906
384,DE000MHB32J7,
385,FR001400DXR9,3.164
386,XS2555420103,5.865
387,XS2555221246,4.781
388,XS2554488978,4.297
389,FR001400DXH0,3.185
390,FR001400DAO4,5.461
391,XS2555192710,3.758
392,XS2555198089,3.344
393,XS2555196463,3.087
394,XS2555198162,3.463
395,XS2555209381,3.142
396,XS2554487905,4.141
397,XS2554489513,4.467
398,XS2555187801,
399,DE000A30V2V0,3.113
400,FR001400DTA3,3.581
401,FR001400DT99,3.263
402,XS2553798443,4.084
403,XS2551903425,4.242
404,FR001400DQ84,4.666
405,FR001400DQ92,5.075
406,XS2550909415,4.08
407,FR001400DNT6,3.12
408,FR001400DOV0,3.478
409,FR001400DP44,3.931
410,XS2551280436,3.79
411,PTCGDDOM0036,
412,CH1224575899,5.23
413,XS2550898204,4.762
414,XS2550557800,3.225
415,FR001400DNF5,5.479
416,XS2550881143,4.321
417,FR001400DNG3,4.733
418,FR001400DKT2,3.315
419,XS2550081454,
420,DE000HCB0BP2,3.203
421,XS2549543226,4.32
422,XS2547936984,5.847
423,XS2549702475,3.272
424,XS2549543499,4.556
425,XS2549715618,4.817
426,XS2549543143,3.92
427,FR001400DHZ5,3.044
428,DE000BHY0JW5,3.098
429,XS2547609433,4.055
430,DE000A30WF27,3.083
431,FR001400DGZ7,3.219
432,XS2544645117,3.246
433,DE000BLB6JT9,3.144
434,AT0000A30ZH4,3.293
435,BE6338543786,3.284
436,XS2545247863,3.369
437,XS2544400786,
438,FR001400DC98,3.375
439,DE000LB381U7,2.874
440,XS2545248242,3.755
441,XS2546781555,4.208
442,FR001400DAI6,3.26
443,BE6338167909,3.648
444,DE000CZ43ZF4,2.978
445,XS2545259876,4.581
446,FR001400D8K2,3.641
447,XS2545263399,3.308
448,FR001400D6N0,4.48
449,FR001400D6M2,3.934
450,FR001400D6O8,4.89
451,XS2537251170,3.78
452,XS2545206166,4.45
453,XS2495084621,5.779
454,FR001400D5T9,2.889
455,FR001400D0F9,4.323
456,FR001400D7M0,4.765
457,XS2541314584,3.208
458,XS2542914986,3.929
459,XS2532473555,4.565
460,XS2541853532,2.812
461,XS2544624112,2.822
462,SK4000021820,3.507
463,XS2540993172,3.371
464,XS2540585564,4.266
465,XS2537097409,2.898
466,XS2538368221,3.9
467,XS2536938439,2.75
468,XS2538366878,
469,FR001400A1H6,3.661
470,XS2537060746,4.975
471,FI4000530977,
472,DE000LB38077,2.47
473,XS2533012790,2.945
474,XS2535724772,4.128
475,XS2536730448,3.221
476,FR001400CSG4,4.055
477,XS2536806289,2.579
478,XS2535725159,4.675
479,XS2534891978,3.311
480,DE000CZ43ZB3,
481,DE000A30VPM1,3.971
482,XS2536375368,2.461
483,XS2536431617,4.756
484,XS2534912485,2.595
485,DE000A30VPL3,3.45
486,XS2536376416,2.575
487,XS2535484526,3.094
488,BE0002872530,5.485
489,DE000A3MQUX3,2.579
490,AT000B049929,2.464
491,XS2534984716,2.669
492,XS2534985523,
493,FR001400CRG6,4.946
494,XS2530444624,3.957
495,AT0000A306J4,2.555
496,XS2534276717,2.726
497,DE000NLB3Z75,2.33
498,DE000A30VPD0,2.585
499,XS2530443659,3.014
500,XS2528341501,3.53
501,DE000A30VPC2,2.359
502,XS2534276808,2.975
503,XS2534976886,4.549
504,XS2534785865,3.47
505,XS2528341766,3.949
506,FR001400CQ85,3.396
507,FR001400CND2,2.982
508,XS2531438351,2.527
509,XS2532376949,2.575
510,FR001400CN54,3.232
511,ES0265936031,5.315
512,XS2531803828,2.574
513,FR001400CN47,2.749
514,XS2531420656,3.944
515,XS2530219349,2.701
516,XS2530506752,2.892
517,FR001400CMY0,3.19
518,DE000A2YNWB9,
519,XS2532312548,3.03
520,XS2531567753,2.407
521,FR001400CMZ7,3.7
522,XS2531929094,2.202
523,FR001400CM22,2.498
524,XS2531420730,2.705
525,FR001400CFW8,3.662
526,XS2526860965,2.614
527,AT0000A305R9,2.539
528,XS2528170777,3.245
529,XS2529520715,3.738
530,XS2528582377,3.116
531,XS2521013909,3.733
532,XS2528155893,
533,ES0413900855,2.843
534,FR001400CK81,2.665
535,XS2526835694,4.192
536,XS2530034649,3.86
537,ES0413900848,2.478
538,XS2526839258,2.519
539,XS2528311348,4.029
540,XS2526839175,2.311
541,XS2526839761,2.811
542,XS2528323780,3.49
543,XS2528858033,
544,BE0002876572,3.232
545,XS2526839506,3.011
546,XS2525246901,3.359
547,XS2527451905,2.727
548,DE000CZ45W99,2.305
549,XS2527786755,1.227
550,FR001400CH94,2.876
551,XS2527319979,3.279
552,XS2526882001,2.347
553,CH1210198136,3.374
554,FR001400CGA2,2.221
555,XS2526828996,3.026
556,XS2496028924,3.426
557,XS2496028502,2.844
558,DE000A30WFV1,4.397
559,XS2526825463,2.047
560,XS2525226622,3.53
561,XS2525255647,1.762
562,DK0009410185,1.921
563,DE000MHB31J9,1.942
564,XS2521027446,3.238
565,XS2524740649,2.984
566,XS2523326853,2.089
567,XS2525157470,2.67
568,DE000A162BF5,1.589
569,XS2523390271,2.579
570,DE000BHY0GK6,1.359
571,XS2524675050,1.675
572,XS2521820048,2.035
573,XS2511906310,3.784
574,XS2517103417,2.205
575,XS2517103334,2.737
576,XS2517103250,1.709
577,XS2510903862,2.889
578,DE000NLB3ZZ5,1.399
579,DE000AAR0355,4.567
580,DE000A30WFU3,1.78
581,DE000LB2ZV93,1.81
582,XS2502844116,1.963
583,XS2500847657,1.777
584,BE0002871524,4.082
585,XS2498470116,2.102
586,XS2498554992,4.092
587,XS2495085784,2.132
588,XS2491963638,
589,FR001400B1L7,4.805
590,XS2498042584,3.497
591,XS2496288593,3.104
592,XS2496289138,3.859
593,IT0005499543,2.411
594,DE000A3K5HW7,4.751
595,ES0380907057,4.524
596,FR001400BDD5,3.41
597,DE000HCB0BN7,2.112
598,XS2491542457,3.812
599,BE0974423569,2.977
600,XS2491542374,3.23
601,XS2491738949,3.85
602,XS2493830827,2.517
603,XS2491074923,2.552
604,XS2491664137,4.244
605,XS2491738352,3.152
606,FR001400AEA1,2.564
607,XS2488807244,2.405
608,FR001400B9U1,2.417
609,DE000BLB6JP7,2.544
610,XS2495521515,
611,FR001400ASK0,3.925
612,DE000AAR0348,2.276
613,AT0000A2YBY4,2.238
614,XS2489982293,
615,XS2488626883,3.892
616,XS2491189408,2.612
617,ES0244251031,
618,XS2488626610,3.127
619,XS2473715675,2.75
620,CH1194000340,2.764
621,CH1194000357,3.168
622,XS2486589596,
623,XS2489775580,3.55
624,XS2490471807,2.329
625,PTCGDNOM0026,2.9
626,XS2490472102,2.883
627,XS2489138789,3.275
628,DE000A30VGD9,2.684
629,XS2481287634,2.813
630,XS2489627047,1.9
631,XS2489287354,2.259
632,XS2487770104,1.833
633,XS2488800405,1.836
634,XS2484502823,5.056
635,XS2486282358,3.094
636,XS2479941572,2.05
637,XS2479942034,2.469
638,XS2487016250,2.47
639,XS2486839298,2.47
640,XS2446008083,1.636
641,XS2479941499,1.618
642,IT0005495889,1.759
643,DE000SLB4SA6,1.833
644,FR001400AOL7,2.079
645,XS2480543102,2.155
646,FR001400AO14,2.63
647,XS2486449072,1.466
648,XS2486461010,2.179
649,XS2486461523,3.246
650,XS2486461283,2.95
651,FI4000523287,
652,XS2485553866,2.091
653,ES0413860802,1.771
654,FR001400AJT0,1.993
655,XS2484339499,1.964
656,XS2485265214,3.155
657,XS2485537828,
658,DE000HCB0BL1,1.472
659,XS2484340075,2.792
660,XS2485162163,2.375
661,XS2485152362,2.141
662,FR001400AKP6,2.805
663,XS2484586669,0.522
664,FR001400AJW4,1.861
665,XS2482936247,2.217
666,AT000B049911,1.528
667,XS2484327999,1.992
668,FR001400AJY0,3.344
669,XS2484111047,2.207
670,XS2482887879,2.851
671,FR001400AJX2,2.328
672,XS2481285349,1.569
673,FR001400AFN1,2.448
674,XS2478685931,2.362
675,FR001400AFL5,1.959
676,XS2480515662,2.174
677,FR001400AFO9,2.962
678,XS2482618464,2.53
679,BE0002859404,1.52
680,XS2482628851,1.691
681,FI4000522974,
682,XS2475919663,2.59
683,XS2480961015,
684,XS2480958904,1.723
685,FR001400AF72,2.471
686,DE000A30VH59,2.04
687,XS2473687106,
688,NL0015000WP1,1.945
689,XS2480519656,2.328
690,FR001400ABK6,1.797
691,AT0000A2VXQ0,1.652
692,FR001400A9N7,1.702
693,XS2478521151,1.673
694,XS2478690931,1.876
695,XS2478299204,2.211
696,XS2478272938,1.829
697,XS2477935345,1.748
698,XS2478299386,2.478
699,XS2478299469,2.866
700,DE000BHY0SB0,1.769
701,XS2477154871,2.147
702,DE000SCB0039,1.651
703,FR001400A5N5,1.302
704,FR001400A5M7,1.939
705,AT0000A2XLB3,1.372
706,FR0014009YC1,2.455
707,XS2475502832,2.419
708,FR0014009YD9,1.882
709,FR001400A2T9,1.774
710,FR001400A2U7,1.399
711,FR001400A3G4,2.629
712,XS2471770862,3.721
713,XS2473346299,2.038
714,AT0000A2XLD9,1.416
715,XS2472651632,1.052
716,XS2472845911,1.832
717,AT0000A2XLA5,1.334
718,XS2472603740,2.223
719,XS2469466390,1.373
720,DE000A3T0X22,0.312
721,AT0000A2XG57,1.482
722,DE000MHB30J1,1.292
723,DE000A11QJM4,1.345
724,DE000A3T0YH5,1.07
725,XS2468221747,1.18
726,SK4000020673,1.208
727,XS2468129429,1.241
728,FR0014009OM1,1.152
729,BE0002850312,3.072
730,FR0014009O88,1.178
731,FR0014009L57,1.563
732,FR0014009LQ8,2.118
733,XS2466426215,1.172
734,XS2466350993,1.952
735,XS2465792294,2.534
736,XS2466172363,1.717
737,XS2466172280,1.33
738,FR0014009KQ0,1.302
739,FR0014009KS6,0.903
740,AT0000A2WVQ2,
741,XS2465609191,1.021
742,XS2465142755,1.049
743,DE000A3MQXZ2,1.646
744,XS2464732770,2.762
745,XS2463967286,1.079
746,XS2464405229,
747,XS2448335351,2.624
748,XS2463711643,2.156
749,XS2464091029,1.086
750,XS2463934864,2.731
751,XS2441247041,1.397
752,XS2441244535,0.802
753,XS2449330179,1.164
754,XS2463702907,1.021
755,XS2463974571,0.641
756,XS2463518998,1.646
757,FR0014009E07,2.471
758,XS2463505581,0.919
759,FR0014009DZ6,1.89
760,FR0014009EI0,0.454
761,FR0014009EJ8,0.901
762,BE0002846278,1.527
763,XS2462455689,0.825
764,XS2462321303,1.298
765,XS2462321485,1.606
766,DE000A3MQS72,2.489
767,XS2462321212,0.903
768,XS2462466611,1.539
769,DE000A3MQS56,1.523
770,DK0030506886,3.122767
771,DE000A3MQS64,2.029
772,XS2462468740,2.072
773,CH1174335732,2.177
774,XS2461741212,0.864
775,CH1174335740,2.916
776,XS2455392584,
777,DE000A14J0N7,0.559
778,XS2460043743,0.727
779,FR0014009A50,1.022
780,CH1168499791,1.109
781,XS2442748385,0.723
782,FR00140098T5,0.753
783,XS2459163619,1.813
784,SK4000020491,0.938
785,XS2459544339,1.897
786,XS2450391581,0.644
787,XS2457496359,1.622
788,IT0005489932,0.777
789,XS2458285355,1.548
790,XS2457002538,0.495
791,DE000CZ45W16,0.508
792,XS2456253082,0.338
793,FR00140095D5,0.625
794,XS2454011839,0.43
795,FR0014008RV7,0.935
796,AT0000A2VL52,0.814
797,XS2451372499,1.29
798,XS2449911143,1.419
799,BE6333477568,0.808
800,FR0014008RP9,0.644
801,FR0014008PK4,1.698
802,DE000A2YNWA1,0.676
803,FR0014008JQ4,2.595
804,XS2447539060,1.694
805,FR0014008MT2,1.245
806,XS2448001813,1.099
807,XS2444424639,1.023
808,XS2447983813,1.394
809,XS2446284783,0.761
810,XS2448014808,1.041
811,XS2447561403,0.599
812,FR0014008JP6,0.805
813,DE000A3MP619,0.775
814,XS2447564332,1.051
815,XS2443485565,1.345
816,FR0014008FH1,0.92
817,FR0014008E08,0.637
818,XS2443893255,1.15
819,XS2444281260,0.969
820,XS2444286145,1.388
821,XS2440678915,0.748
822,FR00140087C4,1.055
823,XS2441296923,0.555
824,XS2442765124,1.326
825,XS2442764747,0.979
826,XS2442768227,0.834
827,XS2441574089,1.235
828,DE000SLB4253,0.345
829,FR00140082Z6,1.728
830,XS2441055998,0.558
831,XS2439004685,1.571
832,XS2439004412,1.092
833,XS2440690456,0.852
834,XS2437455277,0.368
835,FR0014008066,0.215
836,XS2438615606,0.297
837,XS2438616240,0.945
838,XS2413672234,2.582
839,XS2430442868,1.916
840,XS2436160936,0.161
841,DE000MHB29J3,0.218
842,XS2436160779,
843,XS2430951744,0.184
844,XS2435783613,0.209
845,FR0014007VS7,0.489
846,XS2436159847,0.186
847,FR0014007VP3,1.048
848,DE000BHY0GN0,0.412
849,FR0014007VF4,0.467
850,DE000LB2ZSM3,0.209
851,BE0002838192,1.03
852,XS2435570895,0.634
853,XS2432361421,0.991
854,XS2435603571,0.695
855,XS2435611244,1.509
856,XS2435614693,0.398
857,BE0002839208,0.8082
858,XS2434702424,
859,XS2434763483,2.177
860,XS2434412859,0.411
861,XS2434787235,1.261
862,XS2434791690,0.942
863,XS2432544349,1.074
864,FR0014007QT5,0.388
865,XS2433206740,0.943
866,XS2430387875,
867,XS2430287529,1.207
868,XS2412556461,
869,XS2433361719,1.061
870,DE000A3T0X97,0.318
871,XS2433226854,1.271
872,FR0014007NF1,1.057
873,IT0005481046,0.466
874,FR0014007QS7,0.053
875,XS2430287362,2.085
876,DE000HCB0BH9,0.075
877,IT0005481038,0.783
878,XS2433211310,0.829
879,XS2433126807,0.086
880,XS2432567555,
881,XS2433141947,1.646
882,XS2433135543,1.589
883,XS2433240764,0.598
884,XS2431318802,1.742
885,XS2432565005,1.105
886,DE000AAR0322,0.874
887,XS2431318711,0.669
888,XS2431319107,2.137
889,FR0014007Q96,0.828
890,FR0014007PX9,0.392
891,FR0014007PY7,0.667
892,XS2432565187,2.041
893,XS2432293913,1.306
894,DE000A3MQNQ2,1.576
895,BE6332786449,1.686
896,FR0014007PV3,0.74
897,XS2432530637,0.586
898,FR0014007PW1,1.176
899,BE6332787454,2.322
900,DE000A3MQNP4,1.017
901,XS2431320378,1.0
902,XS2432293673,0.295
903,XS2432502008,0.514
904,XS2432293756,1.027
905,DE000A3MQNN9,0.518
906,XS2430285077,0.064
907,FR0014007MK3,1.146
908,FR0014007LP4,0.848
909,DE000CZ45WY7,0.315
910,XS2430284930,0.44
911,XS2430970884,0.832
912,XS2430998893,
913,FR0014007LL3,0.63
914,FR0014007LM1,1.116
915,AT0000A2UXN9,0.052
916,FR0014007LK5,0.998
917,AT0000A2UXM1,0.078
918,DE000AAR0314,0.195
919,XS2421195848,0.766
920,XS2421186268,-0.004
921,FR0014006ZC4,0.735
922,XS2421006201,0.427
923,XS2411311652,0.399
924,XS2411311579,0.082
925,XS2418730995,0.165
926,FR0014006WB3,0.243
927,FR0014006TQ7,1.802
928,FR0014006XE5,0.068
929,BE0002832138,0.349
930,XS2414830963,0.931
931,XS2416413339,0.452
932,ES0380907040,1.015
933,FR0014006NI7,0.619
934,XS2415386726,0.738
935,FR0014006UI2,-0.115
936,XS2416563901,0.212
937,FR0014006UO0,1.198
938,XS2410368042,0.875
939,XS2411720233,0.467
940,XS2412044641,1.077
941,XS2412732708,1.888
942,XS2412044567,0.528
943,XS2412105533,-0.087
944,XS2412258522,0.987
945,XS2411726438,0.851
946,XS2411166973,0.897
947,XS2411638575,0.237
948,BE0002831122,0.696
949,XS2407969885,
950,XS2409134371,0.316
951,DE000MHB27J7,0.033
952,BE0002830116,0.903
953,XS2407955827,0.501
954,XS2406578059,0.04
955,XS2407985220,0.067
956,FR0014006IV0,0.176
957,XS2406890066,0.984
958,XS2407357768,0.176
959,XS2407027031,1.845
960,FR0014006G24,1.109
961,XS2406913884,-0.117
962,XS2406915236,0.934
963,XS2406549464,
964,XS2406914346,0.318
965,XS2407010656,0.702
966,XS2405875480,0.338
967,XS2406010285,0.282
968,FR0014006FE2,0.52
969,XS2402009539,-0.089
970,FR0014006F01,
971,BE6331562817,0.992
972,XS2402178300,0.755
973,CH1142231690,0.882
974,FR0014006CS9,0.528
975,XS2404591161,0.095
976,XS2404629235,0.175
977,CH1142231682,0.358
978,XS2404651163,1.019
979,XS2402178565,1.092
980,DE000HCB0BC0,0.116
981,FR0014006C10,1.039
982,XS2404214020,0.927
983,XS2404213485,0.366
984,XS2404027935,0.253
985,XS2403444677,0.55
986,XS2403533263,1.071
987,DE000BLB6JL6,0.141
988,IT0005461626,0.676
989,XS2402064559,0.095
990,FR00140067I3,0.118
991,DE000A3T0X22,0.312
992,XS2388377827,0.258
993,FR0014005ZP8,0.552
994,DE000LB2V833,0.498
995,XS2400997131,0.096
996,XS2401439174,0.015
997,FR00140065E6,0.946
998,XS2398807383,
999,XS2395267052,0.277
1000,XS2400445289,0.541
1001,DK0004133139,
1002,DK0004132677,0.17481
1003,FR0014005ZQ6,1.124
1004,FR00140060E7,0.622
1005,XS2399154181,0.954
1006,FR0014006268,0.616
1007,XS2393768788,0.048
1008,FR0014006276,-0.023
1009,XS2399933386,1.077
1010,XS2398745849,0.163
1011,XS2398745922,1.007
1012,XS2398746144,1.659
1013,DE000BHY0H34,0.133
1014,XS2397372850,-0.142
1015,XS2397367421,
1016,DE000CZ45WU5,0.099
1017,XS2397252102,1.043
1018,ES0243307016,
1019,XS2397077426,0.159
1020,XS2397252011,1.641
1021,XS2397239000,0.254
1022,XS2396616455,0.051
1023,XS2397352233,-0.181
1024,XS2393539593,0.763
1025,DE000A1KRJV6,0.074
1026,XS2388941077,0.416
1027,FR0014005SR9,1.848
