,Instrument,Date,Bid Yield
5505,DE000AAR0272,2022-06-07T00:00:00Z,1.624
5506,DE000AAR0272,2022-06-08T00:00:00Z,1.659
5507,DE000AAR0272,2022-06-09T00:00:00Z,1.794
5508,DE000AAR0272,2022-06-10T00:00:00Z,1.911
5509,DE000AAR0272,2022-06-13T00:00:00Z,2.132
5510,DE000AAR0272,2022-06-14T00:00:00Z,2.275
5511,DE000AAR0272,2022-06-15T00:00:00Z,2.149
5512,DE000AAR0272,2022-06-16T00:00:00Z,2.21
5513,DE000AAR0272,2022-06-17T00:00:00Z,2.175
5514,DE000AAR0272,2022-06-20T00:00:00Z,2.201
5515,DE000AAR0272,2022-06-21T00:00:00Z,2.217
5516,DE000AAR0272,2022-06-22T00:00:00Z,2.129
5517,DE000AAR0272,2022-06-23T00:00:00Z,1.844
5518,DE000AAR0272,2022-06-24T00:00:00Z,1.849
5519,DE000AAR0272,2022-06-27T00:00:00Z,1.944
5520,DE000AAR0272,2022-06-28T00:00:00Z,2.026
5521,DE000AAR0272,2022-06-29T00:00:00Z,1.909
5522,DE000AAR0272,2022-06-30T00:00:00Z,1.748
5523,DE000AAR0272,2022-07-01T00:00:00Z,1.567
5524,DE000AAR0272,2022-07-04T00:00:00Z,1.722
5525,DE000AAR0298,2022-06-29T00:00:00Z,4.056
5526,DE000AAR0298,2022-06-30T00:00:00Z,4.082
5527,DE000AAR0298,2022-07-01T00:00:00Z,3.865
5528,DE000AAR0298,2022-07-04T00:00:00Z,4.017
5529,DE000AAR0298,2022-07-05T00:00:00Z,3.617
5530,DE000AAR0298,2022-07-06T00:00:00Z,3.611
5531,DE000AAR0298,2022-07-07T00:00:00Z,3.682
5532,DE000AAR0298,2022-07-08T00:00:00Z,3.699
5533,DE000AAR0298,2022-07-11T00:00:00Z,3.64
5534,DE000AAR0298,2022-07-12T00:00:00Z,3.542
5535,DE000AAR0298,2022-07-13T00:00:00Z,3.647
5536,DE000AAR0298,2022-07-14T00:00:00Z,3.757
5537,DE000AAR0298,2022-07-15T00:00:00Z,3.77
5538,DE000AAR0298,2022-07-18T00:00:00Z,4.025
5539,DE000AAR0298,2022-07-19T00:00:00Z,4.645
5540,DE000AAR0298,2022-07-20T00:00:00Z,4.505
5541,DE000AAR0298,2022-07-21T00:00:00Z,4.542
5542,DE000AAR0298,2022-07-22T00:00:00Z,4.234
5543,DE000AAR0298,2022-07-25T00:00:00Z,4.091
5544,DE000AAR0298,2022-07-26T00:00:00Z,4.118
5545,DE000AAR0298,2022-07-27T00:00:00Z,3.988
5546,DE000AAR0298,2022-07-28T00:00:00Z,3.899
5547,DE000AAR0298,2022-07-29T00:00:00Z,3.894
5548,DE000AAR0298,2022-08-01T00:00:00Z,3.795
5549,DE000AAR0298,2022-08-02T00:00:00Z,3.783
5550,DE000AAR0298,2022-08-03T00:00:00Z,3.875
5551,DE000AAR0298,2022-08-04T00:00:00Z,3.769
5552,DE000AAR0298,2022-08-05T00:00:00Z,3.934
5553,DE000AAR0298,2022-08-08T00:00:00Z,3.863
5554,DE000AAR0280,2022-12-15T00:00:00Z,2.887
5555,DE000AAR0280,2022-12-16T00:00:00Z,2.993
5556,DE000AAR0280,2022-12-19T00:00:00Z,2.978
5557,DE000AAR0280,2022-12-20T00:00:00Z,3.075
5558,DE000AAR0280,2022-12-21T00:00:00Z,3.125
5559,DE000AAR0280,2022-12-22T00:00:00Z,3.164
5560,DE000AAR0280,2022-12-23T00:00:00Z,3.248
5561,DE000AAR0280,2022-12-23T00:00:00Z,3.248
5562,DE000AAR0280,2022-12-27T00:00:00Z,3.291
5563,DE000AAR0280,2022-12-28T00:00:00Z,3.269
5564,DE000AAR0280,2022-12-29T00:00:00Z,3.254
5565,DE000AAR0280,2022-12-30T00:00:00Z,3.335
5566,DE000AAR0280,2023-01-02T00:00:00Z,3.232
5567,DE000AAR0280,2023-01-03T00:00:00Z,3.146
5568,DE000AAR0280,2023-01-04T00:00:00Z,3.012
5569,DE000AAR0280,2023-01-05T00:00:00Z,3.106
5570,DE000AAR0280,2023-01-06T00:00:00Z,3.019
5571,DE000AAR0280,2023-01-09T00:00:00Z,2.993
5572,DE000AAR0280,2023-01-10T00:00:00Z,3.061
5573,DE000AAR0280,2023-01-11T00:00:00Z,2.966
5574,DE000AAR0280,2023-01-12T00:00:00Z,2.926
5575,DE000AAR0280,2023-01-13T00:00:00Z,2.902
5576,DE000AAR0280,2023-01-16T00:00:00Z,2.912
5577,DE000AAR0280,2023-01-17T00:00:00Z,2.789
5578,DE000AAR0280,2023-01-18T00:00:00Z,2.774
5579,DE000AAR0280,2023-01-19T00:00:00Z,2.837
5580,DE000AAR0280,2023-01-20T00:00:00Z,2.938
5581,DE000AAR0280,2023-01-23T00:00:00Z,2.975
5582,DE000AAR0280,2023-01-24T00:00:00Z,2.975
5583,DE000AAR0272,2023-01-19T00:00:00Z,2.901
5584,DE000AAR0272,2023-01-20T00:00:00Z,2.991
5585,DE000AAR0272,2023-01-23T00:00:00Z,3.037
5586,DE000AAR0272,2023-01-24T00:00:00Z,3.026
5587,DE000AAR0272,2023-01-25T00:00:00Z,3.021
5588,DE000AAR0272,2023-01-26T00:00:00Z,3.06
5589,DE000AAR0272,2023-01-27T00:00:00Z,3.064
5590,DE000AAR0272,2023-01-30T00:00:00Z,3.138
5591,DE000AAR0272,2023-01-31T00:00:00Z,3.119
5592,DE000AAR0272,2023-02-01T00:00:00Z,3.12
5593,DE000AAR0272,2023-02-02T00:00:00Z,2.932
5594,DE000AAR0272,2023-02-03T00:00:00Z,3.022
5595,DE000AAR0272,2023-02-06T00:00:00Z,3.122
